Rate	83.33
Tree Move	16.67
Rate Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
828	0.410628	172	0.854651	5.000000	828	0.410628	0.487000	0.554131	
852	0.448357	148	0.837838	5.000000	852	0.448357	0.506000	0.550121	
826	0.429782	174	0.793103	5.000000	826	0.429782	0.493000	0.545727	
829	0.411339	171	0.812865	5.000000	829	0.411339	0.480000	0.541033	
843	0.436536	157	0.828025	5.000000	843	0.436536	0.498000	0.538164	
828	0.428744	172	0.831395	5.000000	828	0.428744	0.498000	0.535654	
815	0.434356	185	0.827027	5.000000	815	0.434356	0.507000	0.533969	
850	0.456471	150	0.713333	5.000000	850	0.456471	0.495000	0.531804	
832	0.448317	168	0.869048	5.000000	832	0.448317	0.519000	0.531130	
802	0.403990	198	0.838384	5.000000	802	0.403990	0.490000	0.529074	
801	0.441948	199	0.839196	5.000000	801	0.441948	0.521000	0.528689	
854	0.423888	146	0.801370	5.000000	854	0.423888	0.479000	0.526431	
840	0.432143	160	0.775000	5.000000	840	0.432143	0.487000	0.524716	
834	0.412470	166	0.825301	5.000000	834	0.412470	0.481000	0.522895	
865	0.413873	135	0.792593	5.000000	865	0.413873	0.465000	0.520579	
806	0.421836	194	0.778351	5.000000	806	0.421836	0.491000	0.519442	
830	0.415663	170	0.811765	5.000000	830	0.415663	0.483000	0.518092	
839	0.448153	161	0.826087	5.000000	839	0.448153	0.509000	0.517767	
829	0.433052	171	0.830409	5.000000	829	0.433052	0.501000	0.517189	
854	0.439110	146	0.835616	5.000000	854	0.439110	0.497000	0.516516	
844	0.418246	156	0.814103	5.000000	844	0.418246	0.480000	0.515338	
838	0.404535	162	0.851852	5.000000	838	0.404535	0.477000	0.514140	
840	0.425000	160	0.800000	5.000000	840	0.425000	0.485000	0.513257	
840	0.430952	160	0.775000	5.000000	840	0.430952	0.486000	0.512456	
857	0.402567	143	0.839161	5.000000	857	0.402567	0.465000	0.511100	
842	0.433492	158	0.879747	5.000000	842	0.433492	0.504000	0.510902	
837	0.424134	163	0.773006	5.000000	837	0.424134	0.481000	0.510094	
852	0.428404	148	0.878378	5.000000	852	0.428404	0.495000	0.509697	
816	0.414216	184	0.869565	5.000000	816	0.414216	0.498000	0.509397	
859	0.428405	141	0.822695	5.000000	859	0.428405	0.484000	0.508762	
826	0.422518	174	0.839080	5.000000	826	0.422518	0.495000	0.508427	
822	0.401460	178	0.792135	5.000000	822	0.401460	0.471000	0.507536	
849	0.405183	151	0.854305	5.000000	849	0.405183	0.473000	0.506732	
843	0.429419	157	0.885350	5.000000	843	0.429419	0.501000	0.506602	
843	0.424674	157	0.853503	5.000000	843	0.424674	0.492000	0.506278	
844	0.392180	156	0.852564	5.000000	844	0.392180	0.464000	0.505359	
840	0.425000	160	0.781250	5.000000	840	0.425000	0.482000	0.504862	
827	0.435308	173	0.826590	5.000000	827	0.435308	0.503000	0.504823	
846	0.434988	154	0.850649	5.000000	846	0.434988	0.499000	0.504704	
810	0.439506	190	0.831579	5.000000	810	0.439506	0.514000	0.504890	
